INFO   | jvm 1    | 2017/04/21 15:42:27 | 10:12:27,824 INFO  [stdout] (ajp--0.0.0.0-8009-9) English (United States)
INFO   | jvm 1    | 2017/04/21 15:42:27 | 10:12:27,825 INFO  [stdout] (ajp--0.0.0.0-8009-9) Directory for resource bundle is /opt/jboss7/jboss_setting/indusind
INFO   | jvm 1    | 2017/04/21 15:43:05 | 10:13:05,881 INFO  [stdout] (ajp--0.0.0.0-8009-26) English (United States)
INFO   | jvm 1    | 2017/04/21 15:43:05 | 10:13:05,882 INFO  [stdout] (ajp--0.0.0.0-8009-26) Directory for resource bundle is /opt/jboss7/jboss_setting/indusind
INFO   | jvm 1    | 2017/04/21 15:43:05 | 10:13:05,886 INFO  [stdout] (ajp--0.0.0.0-8009-26) English (United States)
INFO   | jvm 1    | 2017/04/21 15:43:05 | 10:13:05,886 INFO  [stdout] (ajp--0.0.0.0-8009-26) Directory for resource bundle is /opt/jboss7/jboss_setting/indusind
INFO   | jvm 1    | 2017/04/21 15:44:27 | 10:14:27,376 INFO  [stdout] (ajp--0.0.0.0-8009-4) Directory for resource bundle is /opt/jboss7/jboss_setting/indusind
INFO   | jvm 1    | 2017/04/21 15:44:29 | 10:14:29,025 INFO  [stdout] (ajp--0.0.0.0-8009-7) English (United States)
INFO   | jvm 1    | 2017/04/21 15:44:29 | 10:14:29,026 INFO  [stdout] (ajp--0.0.0.0-8009-7) Directory for resource bundle is /opt/jboss7/jboss_setting/indusind
INFO   | jvm 1    | 2017/04/21 15:44:49 | 10:14:49,473 WARN  [org.springframework.orm.jpa.vendor.HibernateJpaDialect] (ajp--0.0.0.0-8009-9) JDBC Connection to reset not identical to originally prepared Connection - please make sure to use connection release mode ON_CLOSE (the default) and to run against Hibernate 4.2+ (or switch HibernateJpaDialect's prepareConnection flag to false
INFO   | jvm 1    | 2017/04/21 15:44:49 | 10:14:49,480 WARN  [org.springframework.orm.jpa.vendor.HibernateJpaDialect] (ajp--0.0.0.0-8009-9) JDBC Connection to reset not identical to originally prepared Connection - please make sure to use connection release mode ON_CLOSE (the default) and to run against Hibernate 4.2+ (or switch HibernateJpaDialect's prepareConnection flag to false
INFO   | jvm 1    | 2017/04/21 15:44:49 | 10:14:49,486 WARN  [org.springframework.orm.jpa.vendor.HibernateJpaDialect] (ajp--0.0.0.0-8009-9) JDBC Connection to reset not identical to originally prepared Connection - please make sure to use connection release mode ON_CLOSE (the default) and to run against Hibernate 4.2+ (or switch HibernateJpaDialect's prepareConnection flag to false
INFO   | jvm 1    | 2017/04/21 15:44:49 | 10:14:49,493 WARN  [org.springframework.orm.jpa.vendor.HibernateJpaDialect] (ajp--0.0.0.0-8009-9) JDBC Connection to reset not identical to originally prepared Connection - please make sure to use connection release mode ON_CLOSE (the default) and to run against Hibernate 4.2+ (or switch HibernateJpaDialect's prepareConnection flag to false
INFO   | jvm 1    | 2017/04/21 15:44:49 | 10:14:49,500 WARN  [org.springframework.orm.jpa.vendor.HibernateJpaDialect] (ajp--0.0.0.0-8009-9) JDBC Connection to reset not identical to originally prepared Connection - please make sure to use connection release mode ON_CLOSE (the default) and to run against Hibernate 4.2+ (or switch HibernateJpaDialect's prepareConnection flag to false
INFO   | jvm 1    | 2017/04/21 15:44:49 | 10:14:49,507 WARN  [org.springframework.orm.jpa.vendor.HibernateJpaDialect] (ajp--0.0.0.0-8009-9) JDBC Connection to reset not identical to originally prepared Connection - please make sure to use connection release mode ON_CLOSE (the default) and to run against Hibernate 4.2+ (or switch HibernateJpaDialect's prepareConnection flag to false
INFO   | jvm 1    | 2017/04/21 15:44:49 | 10:14:49,514 WARN  [org.springframework.orm.jpa.vendor.HibernateJpaDialect] (ajp--0.0.0.0-8009-9) JDBC Connection to reset not identical to originally prepared Connection - please make sure to use connection release mode ON_CLOSE (the default) and to run against Hibernate 4.2+ (or switch HibernateJpaDialect's prepareConnection flag to false
INFO   | jvm 1    | 2017/04/21 15:44:49 | 10:14:49,521 WARN  [org.springframework.orm.jpa.vendor.HibernateJpaDialect] (ajp--0.0.0.0-8009-9) JDBC Connection to reset not identical to originally prepared Connection - please make sure to use connection release mode ON_CLOSE (the default) and to run against Hibernate 4.2+ (or switch HibernateJpaDialect's prepareConnection flag to false
