184.105.247.196 - - [18/Mar/2015:01:46:25 +0000] "GET / HTTP/1.1" 200 11197
109.169.19.117 - - [18/Mar/2015:09:15:06 +0000] "GET /vtigercrm/ HTTP/1.1" 404 971
198.199.86.202 - - [18/Mar/2015:13:10:31 +0000] "GET / HTTP/1.1" 200 11197
198.199.86.202 - - [18/Mar/2015:13:10:59 +0000] "GET /docs/config/ HTTP/1.1" 404 975
198.199.86.202 - - [18/Mar/2015:13:10:59 +0000] "GET /docs/security-howto.html HTTP/1.1" 404 999
198.199.86.202 - - [18/Mar/2015:13:10:59 +0000] "GET /examples/ HTTP/1.1" 404 969
198.199.86.202 - - [18/Mar/2015:13:10:59 +0000] "GET /docs/cluster-howto.html HTTP/1.1" 404 997
198.199.86.202 - - [18/Mar/2015:13:10:59 +0000] "GET /docs/manager-howto.html HTTP/1.1" 404 997
198.199.86.202 - - [18/Mar/2015:13:10:59 +0000] "GET /manager/html HTTP/1.1" 401 2474
198.199.86.202 - - [18/Mar/2015:13:10:59 +0000] "GET /docs/jndi-datasource-examples-howto.html HTTP/1.1" 404 1031
198.199.86.202 - - [18/Mar/2015:13:10:59 +0000] "GET /docs/ HTTP/1.1" 404 961
198.199.86.202 - - [18/Mar/2015:13:10:59 +0000] "GET /manager/status HTTP/1.1" 401 2474
198.199.86.202 - - [18/Mar/2015:13:10:59 +0000] "GET /host-manager/html HTTP/1.1" 401 2045
