66.249.69.174 - - [17/Dec/2016:07:58:01 +0000] "GET /robots.txt HTTP/1.1" 404 971
66.249.69.168 - - [17/Dec/2016:07:58:01 +0000] "GET / HTTP/1.1" 200 11197
122.162.63.176 - - [17/Dec/2016:08:52:27 +0000] "GET / HTTP/1.1" 200 11197
122.162.63.176 - - [17/Dec/2016:08:52:27 +0000] "GET /tomcat.png HTTP/1.1" 200 5103
122.162.63.176 - - [17/Dec/2016:08:52:27 +0000] "GET /tomcat.css HTTP/1.1" 200 5576
122.162.63.176 - - [17/Dec/2016:08:52:28 +0000] "GET /favicon.ico HTTP/1.1" 200 21630
122.162.63.176 - - [17/Dec/2016:08:52:28 +0000] "GET /asf-logo.png HTTP/1.1" 200 17811
122.162.63.176 - - [17/Dec/2016:08:52:28 +0000] "GET /bg-nav.png HTTP/1.1" 200 1401
122.162.63.176 - - [17/Dec/2016:08:52:28 +0000] "GET /bg-upper.png HTTP/1.1" 200 3103
122.162.63.176 - - [17/Dec/2016:08:52:28 +0000] "GET /bg-button.png HTTP/1.1" 200 713
122.162.63.176 - - [17/Dec/2016:08:52:28 +0000] "GET /bg-middle.png HTTP/1.1" 200 1918
104.148.75.82 - - [17/Dec/2016:09:25:54 +0000] "GET / HTTP/1.1" 200 11197
104.128.144.131 - - [17/Dec/2016:11:51:34 +0000] "GET / HTTP/1.0" 200 11197
104.128.144.131 - - [17/Dec/2016:11:51:34 +0000] "HEAD /redirect.php HTTP/1.0" 404 -
182.48.247.2 - - [17/Dec/2016:11:52:53 +0000] "GET / HTTP/1.1" 200 11197
182.48.247.2 - - [17/Dec/2016:11:52:54 +0000] "GET /tomcat.css HTTP/1.1" 200 5576
182.48.247.2 - - [17/Dec/2016:11:52:54 +0000] "GET /tomcat.png HTTP/1.1" 200 5103
182.48.247.2 - - [17/Dec/2016:11:52:56 +0000] "GET /bg-button.png HTTP/1.1" 200 713
182.48.247.2 - - [17/Dec/2016:11:52:56 +0000] "GET /bg-nav.png HTTP/1.1" 200 1401
182.48.247.2 - - [17/Dec/2016:11:52:56 +0000] "GET /asf-logo.png HTTP/1.1" 200 17811
182.48.247.2 - - [17/Dec/2016:11:52:56 +0000] "GET /bg-upper.png HTTP/1.1" 200 3103
182.48.247.2 - - [17/Dec/2016:11:52:57 +0000] "GET /bg-middle.png HTTP/1.1" 200 1918
185.25.148.240 - - [17/Dec/2016:13:12:19 +0000] "GET /testproxy.php HTTP/1.1" 404 977
104.148.75.11 - - [17/Dec/2016:14:03:18 +0000] "GET / HTTP/1.1" 200 11197
185.93.1.58 - - [17/Dec/2016:14:35:37 +0000] "GET /recordings/LICENSE.txt HTTP/1.1" 404 995
216.218.206.68 - - [17/Dec/2016:15:47:47 +0000] "GET / HTTP/1.1" 200 11197
23.247.88.114 - - [17/Dec/2016:16:14:03 +0000] "GET / HTTP/1.1" 200 11197
218.93.201.202 - - [17/Dec/2016:18:53:29 +0000] "GET /manager/html HTTP/1.1" 401 2474
218.93.201.202 - - [17/Dec/2016:18:53:32 +0000] "GET /manager/html HTTP/1.1" 401 2474
218.93.201.202 - - [17/Dec/2016:18:53:34 +0000] "GET /manager/html HTTP/1.1" 401 2474
218.93.201.202 - - [17/Dec/2016:18:53:37 +0000] "GET /manager/html HTTP/1.1" 401 2474
218.93.201.202 - - [17/Dec/2016:18:53:41 +0000] "GET /manager/html HTTP/1.1" 401 2474
218.93.201.202 - - [17/Dec/2016:18:53:43 +0000] "GET /manager/html HTTP/1.1" 401 2474
218.93.201.202 - - [17/Dec/2016:18:53:45 +0000] "GET /manager/html HTTP/1.1" 401 2474
