213.42.95.134 - - [31/Jul/2016:04:28:59 +0000] "GET /manager/html HTTP/1.1" 401 2474
213.42.95.134 - - [31/Jul/2016:04:29:03 +0000] "GET /manager/html HTTP/1.1" 401 2474
213.42.95.134 - - [31/Jul/2016:04:29:03 +0000] "GET /manager/html HTTP/1.1" 401 2474
213.42.95.134 - - [31/Jul/2016:04:29:04 +0000] "GET /manager/html HTTP/1.1" 401 2474
213.42.95.134 - - [31/Jul/2016:04:29:04 +0000] "GET /manager/html HTTP/1.1" 401 2474
213.42.95.134 - - [31/Jul/2016:04:29:05 +0000] "GET /manager/html HTTP/1.1" 401 2474
213.42.95.134 - - [31/Jul/2016:04:29:06 +0000] "GET /manager/html HTTP/1.1" 401 2474
213.42.95.134 - - [31/Jul/2016:04:29:06 +0000] "GET /manager/html HTTP/1.1" 401 2474
213.42.95.134 - - [31/Jul/2016:04:29:07 +0000] "GET /manager/html HTTP/1.1" 401 2474
213.42.95.134 - - [31/Jul/2016:04:29:07 +0000] "GET /manager/html HTTP/1.1" 401 2474
213.42.95.134 - - [31/Jul/2016:04:29:08 +0000] "GET /manager/html HTTP/1.1" 401 2474
213.42.95.134 - - [31/Jul/2016:04:29:08 +0000] "GET /manager/html HTTP/1.1" 401 2474
213.42.95.134 - - [31/Jul/2016:04:29:39 +0000] "GET /manager/html HTTP/1.1" 401 2474
213.42.95.134 - - [31/Jul/2016:04:29:39 +0000] "GET /manager/html HTTP/1.1" 401 2474
213.42.95.134 - - [31/Jul/2016:04:29:40 +0000] "GET /manager/html HTTP/1.1" 401 2474
213.42.95.134 - - [31/Jul/2016:04:29:43 +0000] "GET /manager/html HTTP/1.1" 401 2474
213.42.95.134 - - [31/Jul/2016:04:29:44 +0000] "GET /manager/html HTTP/1.1" 401 2474
213.42.95.134 - - [31/Jul/2016:04:29:51 +0000] "GET /manager/html HTTP/1.1" 401 2474
213.42.95.134 - - [31/Jul/2016:04:29:51 +0000] "GET /manager/html HTTP/1.1" 401 2474
213.42.95.134 - - [31/Jul/2016:04:29:52 +0000] "GET /manager/html HTTP/1.1" 401 2474
213.42.95.134 - - [31/Jul/2016:04:29:53 +0000] "GET /manager/html HTTP/1.1" 401 2474
213.42.95.134 - - [31/Jul/2016:04:29:53 +0000] "GET /manager/html HTTP/1.1" 401 2474
213.42.95.134 - - [31/Jul/2016:04:29:54 +0000] "GET /manager/html HTTP/1.1" 401 2474
213.42.95.134 - - [31/Jul/2016:04:29:54 +0000] "GET /manager/html HTTP/1.1" 401 2474
213.42.95.134 - - [31/Jul/2016:04:29:55 +0000] "GET /manager/html HTTP/1.1" 401 2474
213.42.95.134 - - [31/Jul/2016:04:29:55 +0000] "GET /manager/html HTTP/1.1" 401 2474
213.42.95.134 - - [31/Jul/2016:04:29:56 +0000] "GET /manager/html HTTP/1.1" 401 2474
213.42.95.134 - - [31/Jul/2016:04:29:56 +0000] "GET /manager/html HTTP/1.1" 401 2474
213.42.95.134 - - [31/Jul/2016:04:30:00 +0000] "GET /manager/html HTTP/1.1" 401 2474
213.42.95.134 - - [31/Jul/2016:04:30:00 +0000] "GET /manager/html HTTP/1.1" 401 2474
213.42.95.134 - - [31/Jul/2016:04:30:01 +0000] "GET /manager/html HTTP/1.1" 401 2474
213.42.95.134 - - [31/Jul/2016:04:30:02 +0000] "GET /manager/html HTTP/1.1" 401 2474
213.42.95.134 - - [31/Jul/2016:04:30:32 +0000] "GET /manager/html HTTP/1.1" 401 2474
213.42.95.134 - - [31/Jul/2016:04:30:33 +0000] "GET /manager/html HTTP/1.1" 401 2474
213.42.95.134 - - [31/Jul/2016:04:30:36 +0000] "GET /manager/html HTTP/1.1" 401 2474
213.42.95.134 - - [31/Jul/2016:04:30:37 +0000] "GET /manager/html HTTP/1.1" 401 2474
213.42.95.134 - - [31/Jul/2016:04:30:37 +0000] "GET /manager/html HTTP/1.1" 401 2474
213.42.95.134 - - [31/Jul/2016:04:30:38 +0000] "GET /manager/html HTTP/1.1" 401 2474
213.42.95.134 - - [31/Jul/2016:04:30:38 +0000] "GET /manager/html HTTP/1.1" 401 2474
213.42.95.134 - - [31/Jul/2016:04:30:39 +0000] "GET /manager/html HTTP/1.1" 401 2474
213.42.95.134 - - [31/Jul/2016:04:30:40 +0000] "GET /manager/html HTTP/1.1" 401 2474
213.42.95.134 - - [31/Jul/2016:04:30:46 +0000] "GET /manager/html HTTP/1.1" 401 2474
213.42.95.134 - - [31/Jul/2016:04:30:47 +0000] "GET /manager/html HTTP/1.1" 401 2474
213.42.95.134 - - [31/Jul/2016:04:30:47 +0000] "GET /manager/html HTTP/1.1" 401 2474
213.42.95.134 - - [31/Jul/2016:04:30:54 +0000] "GET /manager/html HTTP/1.1" 401 2474
213.42.95.134 - - [31/Jul/2016:04:30:54 +0000] "GET /manager/html HTTP/1.1" 401 2474
213.42.95.134 - - [31/Jul/2016:04:30:55 +0000] "GET /manager/html HTTP/1.1" 401 2474
213.42.95.134 - - [31/Jul/2016:04:30:55 +0000] "GET /manager/html HTTP/1.1" 401 2474
