184.105.139.68 - - [27/Jul/2015:10:41:28 +0000] "GET / HTTP/1.1" 200 11197
117.199.30.250 - - [27/Jul/2015:13:19:13 +0000] "GET / HTTP/1.1" 200 11197
117.199.30.250 - - [27/Jul/2015:13:19:13 +0000] "GET /tomcat.css HTTP/1.1" 200 5576
117.199.30.250 - - [27/Jul/2015:13:19:14 +0000] "GET /tomcat.png HTTP/1.1" 200 5103
117.199.30.250 - - [27/Jul/2015:13:19:15 +0000] "GET /bg-middle.png HTTP/1.1" 200 1918
117.199.30.250 - - [27/Jul/2015:13:19:15 +0000] "GET /bg-nav.png HTTP/1.1" 200 1401
117.199.30.250 - - [27/Jul/2015:13:19:15 +0000] "GET /asf-logo.png HTTP/1.1" 200 17811
117.199.30.250 - - [27/Jul/2015:13:19:15 +0000] "GET /bg-upper.png HTTP/1.1" 200 3103
117.199.30.250 - - [27/Jul/2015:13:19:15 +0000] "GET /bg-button.png HTTP/1.1" 200 713
117.199.30.250 - - [27/Jul/2015:13:19:17 +0000] "GET /favicon.ico HTTP/1.1" 200 21630
