182.64.106.4 - - [22/Jan/2016:14:59:41 +0000] "GET /bg-nav.png HTTP/1.1" 200 1401
182.64.106.4 - - [22/Jan/2016:14:59:42 +0000] "GET /asf-logo.png HTTP/1.1" 200 17811
182.64.106.4 - - [22/Jan/2016:14:59:42 +0000] "GET /bg-button.png HTTP/1.1" 200 713
182.64.106.4 - - [22/Jan/2016:14:59:42 +0000] "GET /bg-upper.png HTTP/1.1" 200 3103
182.64.106.4 - - [22/Jan/2016:14:59:42 +0000] "GET /bg-middle.png HTTP/1.1" 200 1918
182.64.106.4 - - [22/Jan/2016:15:08:00 +0000] "GET / HTTP/1.1" 200 11217
182.64.106.4 - - [22/Jan/2016:15:08:00 +0000] "GET /tomcat.css HTTP/1.1" 200 5576
182.64.106.4 - - [22/Jan/2016:15:08:00 +0000] "GET /tomcat.png HTTP/1.1" 200 5103
182.64.106.4 - - [22/Jan/2016:15:08:01 +0000] "GET /bg-nav.png HTTP/1.1" 200 1401
182.64.106.4 - - [22/Jan/2016:15:08:01 +0000] "GET /asf-logo.png HTTP/1.1" 200 17811
182.64.106.4 - - [22/Jan/2016:15:08:01 +0000] "GET /bg-upper.png HTTP/1.1" 200 3103
182.64.106.4 - - [22/Jan/2016:15:08:01 +0000] "GET /bg-button.png HTTP/1.1" 200 713
182.64.106.4 - - [22/Jan/2016:15:08:01 +0000] "GET /bg-middle.png HTTP/1.1" 200 1918
182.64.106.4 - - [22/Jan/2016:15:08:01 +0000] "GET /favicon.ico HTTP/1.1" 200 21630
182.64.106.4 - - [22/Jan/2016:15:08:03 +0000] "GET /manager/html HTTP/1.1" 401 2486
182.64.106.4 - admin [22/Jan/2016:15:08:04 +0000] "GET /manager/html HTTP/1.1" 200 29698
182.64.106.4 - admin [22/Jan/2016:15:08:05 +0000] "GET /manager/images/asf-logo.gif HTTP/1.1" 200 7279
182.64.106.4 - admin [22/Jan/2016:15:08:05 +0000] "GET /manager/images/tomcat.gif HTTP/1.1" 200 2066
140.123.127.148 - - [22/Jan/2016:16:03:40 +0000] "GET /phpMyAdmin/scripts/setup.php HTTP/1.1" 404 1007
140.123.127.148 - - [22/Jan/2016:16:03:40 +0000] "GET /pma/scripts/setup.php HTTP/1.1" 404 993
184.191.32.39 - - [22/Jan/2016:18:51:00 +0000] "GET /cgi-bin/php4 HTTP/1.1" 404 975
184.191.32.39 - - [22/Jan/2016:18:51:00 +0000] "GET /cgi-bin/php5 HTTP/1.1" 404 975
184.191.32.39 - - [22/Jan/2016:18:51:00 +0000] "GET / HTTP/1.1" 200 11197
184.191.32.39 - - [22/Jan/2016:18:51:00 +0000] "GET /index.cgi HTTP/1.1" 404 969
184.191.32.39 - - [22/Jan/2016:18:51:00 +0000] "GET /cgi-bin/php HTTP/1.1" 404 973
184.191.32.39 - - [22/Jan/2016:18:51:00 +0000] "GET /cgi-bin/php5-cli HTTP/1.1" 404 983
184.191.32.39 - - [22/Jan/2016:18:51:00 +0000] "GET /phppath/cgi_wrapper HTTP/1.1" 404 989
184.191.32.39 - - [22/Jan/2016:18:51:00 +0000] "GET /phppath/php HTTP/1.1" 404 973
184.191.32.39 - - [22/Jan/2016:18:51:00 +0000] "GET /cgi-sys/php5 HTTP/1.1" 404 975
184.191.32.39 - - [22/Jan/2016:18:51:01 +0000] "GET /cgi-bin/php.fcgi HTTP/1.1" 404 983
184.191.32.39 - - [22/Jan/2016:18:51:01 +0000] "GET /cgi-bin/index.cgi HTTP/1.1" 404 985
51.254.126.82 - - [22/Jan/2016:22:09:24 +0000] "GET / HTTP/1.0" 200 11197
51.254.126.82 - - [22/Jan/2016:22:09:24 +0000] "GET / HTTP/1.1" 200 11197
51.254.126.82 - - [22/Jan/2016:22:09:25 +0000] "GET / HTTP/1.0" 200 11197
51.254.126.82 - - [22/Jan/2016:22:09:25 +0000] "GET / HTTP/1.1" 200 11197
91.196.50.33 - - [22/Jan/2016:22:14:21 +0000] "GET /testproxy.php HTTP/1.1" 404 977
