60.217.72.16 - - [31/Mar/2016:01:43:22 +0000] "GET / HTTP/1.0" 200 11197
216.218.206.68 - - [31/Mar/2016:04:47:25 +0000] "GET / HTTP/1.1" 200 11197
74.91.23.107 - - [31/Mar/2016:05:52:15 +0000] "GET / HTTP/1.1" 200 11197
176.31.248.152 - - [31/Mar/2016:06:05:06 +0000] "GET /manager/html HTTP/1.1" 401 2474
176.31.248.152 - - [31/Mar/2016:06:05:06 +0000] "GET /manager/html HTTP/1.1" 401 2474
176.31.248.152 - - [31/Mar/2016:06:05:07 +0000] "GET /manager/html HTTP/1.1" 401 2474
176.31.248.152 - - [31/Mar/2016:06:05:07 +0000] "GET /manager/html HTTP/1.1" 401 2474
176.31.248.152 - - [31/Mar/2016:06:05:08 +0000] "GET /manager/html HTTP/1.1" 401 2474
176.31.248.152 - - [31/Mar/2016:06:05:08 +0000] "GET /manager/html HTTP/1.1" 401 2474
176.31.248.152 - - [31/Mar/2016:06:05:09 +0000] "GET /manager/html HTTP/1.1" 401 2474
176.31.248.152 - - [31/Mar/2016:06:05:09 +0000] "GET /manager/html HTTP/1.1" 401 2474
176.31.248.152 - - [31/Mar/2016:06:05:09 +0000] "GET /manager/html HTTP/1.1" 401 2474
176.31.248.152 - - [31/Mar/2016:06:05:10 +0000] "GET /manager/html HTTP/1.1" 401 2474
176.31.248.152 - - [31/Mar/2016:06:05:10 +0000] "GET /manager/html HTTP/1.1" 401 2474
176.31.248.152 - - [31/Mar/2016:07:27:35 +0000] "GET /manager/html HTTP/1.1" 401 2474
176.31.248.152 - - [31/Mar/2016:07:27:35 +0000] "GET /manager/html HTTP/1.1" 401 2474
176.31.248.152 - - [31/Mar/2016:07:27:36 +0000] "GET /manager/html HTTP/1.1" 401 2474
176.31.248.152 - - [31/Mar/2016:07:27:36 +0000] "GET /manager/html HTTP/1.1" 401 2474
176.31.248.152 - - [31/Mar/2016:07:27:36 +0000] "GET /manager/html HTTP/1.1" 401 2474
176.31.248.152 - - [31/Mar/2016:07:27:37 +0000] "GET /manager/html HTTP/1.1" 401 2474
176.31.248.152 - - [31/Mar/2016:07:27:37 +0000] "GET /manager/html HTTP/1.1" 401 2474
176.31.248.152 - - [31/Mar/2016:07:27:38 +0000] "GET /manager/html HTTP/1.1" 401 2474
