10.0.6.67 - - [21/Mar/2017:14:14:50 +0000] "GET /robots.txt HTTP/1.1" 404 971
10.0.6.67 - - [21/Mar/2017:14:14:50 +0000] "GET /sitemap.xml HTTP/1.1" 404 973
10.0.6.67 - - [21/Mar/2017:14:14:50 +0000] "GET /.cobalt HTTP/1.1" 404 965
10.0.6.67 - - [21/Mar/2017:14:14:50 +0000] "GET / HTTP/1.1" 200 11197
10.0.6.67 - - [21/Mar/2017:14:14:50 +0000] "GET /authenticate/login HTTP/1.1" 404 987
10.0.6.67 - - [21/Mar/2017:14:14:50 +0000] "GET /admin.back HTTP/1.1" 404 971
10.0.6.67 - - [21/Mar/2017:14:14:50 +0000] "GET /file HTTP/1.1" 404 959
10.0.6.67 - - [21/Mar/2017:14:14:50 +0000] "GET / HTTP/1.1" 200 11197
10.0.6.67 - - [21/Mar/2017:14:14:50 +0000] "GET /wavemaster.internal HTTP/1.1" 404 989
10.0.6.67 - - [21/Mar/2017:14:14:50 +0000] "GET / HTTP/1.1" 200 11197
10.0.6.67 - - [21/Mar/2017:14:14:50 +0000] "GET /start.js HTTP/1.1" 404 967
10.0.6.67 - - [21/Mar/2017:14:14:50 +0000] "GET / HTTP/1.1" 200 11197
10.0.6.67 - - [21/Mar/2017:14:14:50 +0000] "BZFYLP / HTTP/1.1" 200 11197
10.0.6.67 - - [21/Mar/2017:14:14:50 +0000] "GET /tmui/ HTTP/1.1" 404 961
10.0.6.67 - - [21/Mar/2017:14:14:50 +0000] "GET / HTTP/1.1" 200 11197
10.0.6.67 - - [21/Mar/2017:14:14:50 +0000] "GET /login HTTP/1.1" 404 961
10.0.6.67 - - [21/Mar/2017:14:14:51 +0000] "GET /netmri/config/userAdmin/login.tdf HTTP/1.1" 404 1017
10.0.6.67 - - [21/Mar/2017:14:14:51 +0000] "GET /robots.txt HTTP/1.1" 404 971
10.0.6.67 - - [21/Mar/2017:14:14:51 +0000] "GET /scgi-bin/platform.cgi HTTP/1.1" 404 993
10.0.6.67 - - [21/Mar/2017:14:14:51 +0000] "GET /sitemap.xml HTTP/1.1" 404 973
10.0.6.67 - - [21/Mar/2017:14:14:51 +0000] "GET /admin/login.do HTTP/1.1" 404 979
10.0.6.67 - - [21/Mar/2017:14:14:51 +0000] "GET /.cobalt HTTP/1.1" 404 965
10.0.6.67 - - [21/Mar/2017:14:14:51 +0000] "GET /os_fingerprint_html.nasl HTTP/1.1" 404 999
10.0.6.67 - - [21/Mar/2017:14:14:51 +0000] "GET /admin.back HTTP/1.1" 404 971
