94.185.83.100 - - [16/Mar/2016:19:34:17 +0000] "GET /testproxy.php HTTP/1.1" 404 977
104.128.144.131 - - [16/Mar/2016:20:54:57 +0000] "GET / HTTP/1.0" 200 11197
104.128.144.131 - - [16/Mar/2016:20:54:57 +0000] "HEAD /redirect.php HTTP/1.0" 404 -
222.186.46.65 - - [16/Mar/2016:21:55:51 +0000] "GET /manager/html HTTP/1.1" 401 2474
222.186.46.65 - - [16/Mar/2016:21:55:51 +0000] "GET /manager/html HTTP/1.1" 401 2474
222.186.46.65 - - [16/Mar/2016:21:55:52 +0000] "GET /manager/html HTTP/1.1" 401 2474
222.186.46.65 - - [16/Mar/2016:21:55:52 +0000] "GET /manager/html HTTP/1.1" 401 2474
222.186.46.65 - - [16/Mar/2016:21:55:53 +0000] "GET /manager/html HTTP/1.1" 401 2474
222.186.46.65 - - [16/Mar/2016:21:55:54 +0000] "GET /manager/html HTTP/1.1" 401 2474
222.186.46.65 - - [16/Mar/2016:21:55:55 +0000] "GET /manager/html HTTP/1.1" 401 2474
222.186.46.65 - - [16/Mar/2016:21:55:56 +0000] "GET /manager/html HTTP/1.1" 401 2474
222.186.46.65 - - [16/Mar/2016:21:55:57 +0000] "GET /manager/html HTTP/1.1" 401 2474
222.186.46.65 - - [16/Mar/2016:21:55:57 +0000] "GET /manager/html HTTP/1.1" 401 2474
222.186.46.65 - - [16/Mar/2016:21:56:01 +0000] "GET /manager/html HTTP/1.1" 401 2474
222.186.46.65 - - [16/Mar/2016:21:56:03 +0000] "GET /manager/html HTTP/1.1" 401 2474
222.186.46.65 - - [16/Mar/2016:21:56:04 +0000] "GET /manager/html HTTP/1.1" 401 2474
222.186.46.65 - - [16/Mar/2016:21:56:05 +0000] "GET /manager/html HTTP/1.1" 401 2474
222.186.46.65 - - [16/Mar/2016:21:56:09 +0000] "GET /manager/html HTTP/1.1" 401 2474
222.186.46.65 - - [16/Mar/2016:21:56:10 +0000] "GET /manager/html HTTP/1.1" 401 2474
222.186.46.65 - - [16/Mar/2016:21:56:13 +0000] "GET /manager/html HTTP/1.1" 401 2474
222.186.46.65 - - [16/Mar/2016:21:56:14 +0000] "GET /manager/html HTTP/1.1" 401 2474
222.186.46.65 - - [16/Mar/2016:21:56:14 +0000] "GET /manager/html HTTP/1.1" 401 2474
206.253.226.18 - - [16/Mar/2016:22:52:20 +0000] "GET /robots.txt HTTP/1.1" 404 971
206.253.226.18 - - [16/Mar/2016:22:52:20 +0000] "HEAD /images/logo.png HTTP/1.1" 404 -
206.253.226.18 - - [16/Mar/2016:22:52:22 +0000] "HEAD /images/banner.png HTTP/1.1" 404 -
206.253.226.18 - - [16/Mar/2016:22:52:23 +0000] "HEAD /tomcat.png HTTP/1.1" 200 -
