184.105.247.195 - - [09/Jun/2015:01:03:54 +0000] "GET / HTTP/1.1" 200 11197
93.174.93.192 - - [09/Jun/2015:07:03:28 +0000] "GET / HTTP/1.1" 200 11197
195.154.154.222 - - [09/Jun/2015:10:42:44 +0000] "GET /vtigercrm/vtigerservice.php HTTP/1.1" 404 1005
195.154.154.222 - - [09/Jun/2015:10:42:44 +0000] "GET /vtigercrm/vtigerservice.php HTTP/1.1" 404 1005
66.249.65.99 - - [09/Jun/2015:17:40:58 +0000] "GET /robots.txt HTTP/1.1" 404 971
66.249.65.96 - - [09/Jun/2015:17:40:58 +0000] "GET /docs/realm-howto.html HTTP/1.1" 404 993
45.55.229.210 - - [09/Jun/2015:17:50:36 +0000] "GET / HTTP/1.1" 200 11197
45.55.229.210 - - [09/Jun/2015:17:50:52 +0000] "GET /docs/config/ HTTP/1.1" 404 975
45.55.229.210 - - [09/Jun/2015:17:50:52 +0000] "GET /docs/ HTTP/1.1" 404 961
45.55.229.210 - - [09/Jun/2015:17:50:52 +0000] "GET /docs/jndi-datasource-examples-howto.html HTTP/1.1" 404 1031
45.55.229.210 - - [09/Jun/2015:17:50:52 +0000] "GET /examples/ HTTP/1.1" 404 969
45.55.229.210 - - [09/Jun/2015:17:50:52 +0000] "GET /docs/security-howto.html HTTP/1.1" 404 999
45.55.229.210 - - [09/Jun/2015:17:50:52 +0000] "GET /docs/manager-howto.html HTTP/1.1" 404 997
45.55.229.210 - - [09/Jun/2015:17:50:52 +0000] "GET /docs/cluster-howto.html HTTP/1.1" 404 997
45.55.229.210 - - [09/Jun/2015:17:50:53 +0000] "GET /manager/html HTTP/1.1" 401 2474
45.55.229.210 - - [09/Jun/2015:17:50:53 +0000] "GET /host-manager/html HTTP/1.1" 401 2045
45.55.229.210 - - [09/Jun/2015:17:50:57 +0000] "GET /manager/status HTTP/1.1" 401 2474
64.14.99.254 - - [09/Jun/2015:17:59:20 +0000] "GET /admin/config.php HTTP/1.1" 404 983
