74.82.47.4 - - [30/Apr/2015:05:24:33 +0000] "GET / HTTP/1.1" 200 11197
188.165.233.34 - - [30/Apr/2015:06:38:11 +0000] "GET /thinkweb/uvp HTTP/1.1" 302 -
188.165.233.34 - - [30/Apr/2015:06:38:16 +0000] "GET /thinkweb/client_solution HTTP/1.1" 302 -
188.165.233.34 - - [30/Apr/2015:06:38:23 +0000] "GET /thinkweb/blog HTTP/1.1" 302 -
188.165.233.34 - - [30/Apr/2015:06:38:27 +0000] "GET /thinkweb/article HTTP/1.1" 302 -
188.165.233.34 - - [30/Apr/2015:06:38:30 +0000] "GET /thinkweb/clientcase HTTP/1.1" 302 -
61.160.247.153 - - [30/Apr/2015:14:59:56 +0000] "GET /manager/html HTTP/1.1" 401 2486
61.160.247.153 - - [30/Apr/2015:15:00:06 +0000] "GET /manager/html HTTP/1.1" 401 2486
61.160.247.153 - - [30/Apr/2015:15:00:17 +0000] "GET /manager/html HTTP/1.1" 401 2486
61.160.247.153 - - [30/Apr/2015:15:00:29 +0000] "GET /manager/html HTTP/1.1" 401 2486
61.160.247.153 - - [30/Apr/2015:15:00:38 +0000] "GET /manager/html HTTP/1.1" 401 2486
61.160.247.153 - - [30/Apr/2015:15:00:49 +0000] "GET /manager/html HTTP/1.1" 401 2486
61.160.247.153 - - [30/Apr/2015:15:00:58 +0000] "GET /manager/html HTTP/1.1" 401 2486
61.160.247.153 - - [30/Apr/2015:15:01:07 +0000] "GET /manager/html HTTP/1.1" 401 2486
61.160.247.153 - - [30/Apr/2015:15:01:18 +0000] "GET /manager/html HTTP/1.1" 401 2486
61.160.247.153 - - [30/Apr/2015:15:01:28 +0000] "GET /manager/html HTTP/1.1" 401 2486
64.14.99.254 - - [30/Apr/2015:20:55:13 +0000] "GET /admin/config.php HTTP/1.1" 404 983
