185.25.151.159 - - [24/Dec/2015:00:46:22 +0000] "GET /testproxy.php HTTP/1.1" 404 977
82.178.171.71 - - [24/Dec/2015:01:24:42 +0000] "GET /phpMyAdmin/scripts/setup.php HTTP/1.1" 404 1007
182.77.32.10 - - [24/Dec/2015:04:01:16 +0000] "GET / HTTP/1.1" 200 11197
182.64.140.27 - - [24/Dec/2015:05:27:56 +0000] "GET / HTTP/1.1" 200 11197
182.64.51.71 - - [24/Dec/2015:06:58:33 +0000] "GET /favicon.ico HTTP/1.1" 200 21630
216.218.206.66 - - [24/Dec/2015:09:13:11 +0000] "GET / HTTP/1.1" 200 11197
182.64.51.71 - - [24/Dec/2015:10:25:36 +0000] "GET / HTTP/1.1" 200 11217
182.64.51.71 - - [24/Dec/2015:10:25:41 +0000] "GET /tomcat.png HTTP/1.1" 200 5103
182.64.51.71 - - [24/Dec/2015:10:25:41 +0000] "GET /tomcat.css HTTP/1.1" 200 5576
182.64.51.71 - - [24/Dec/2015:10:25:41 +0000] "GET /bg-nav.png HTTP/1.1" 200 1401
182.64.51.71 - - [24/Dec/2015:10:25:41 +0000] "GET /asf-logo.png HTTP/1.1" 200 17811
182.64.51.71 - - [24/Dec/2015:10:25:41 +0000] "GET /bg-upper.png HTTP/1.1" 200 3103
182.64.51.71 - - [24/Dec/2015:10:25:41 +0000] "GET /bg-middle.png HTTP/1.1" 200 1918
182.64.51.71 - - [24/Dec/2015:10:25:41 +0000] "GET /bg-button.png HTTP/1.1" 200 713
182.64.51.71 - - [24/Dec/2015:10:25:42 +0000] "GET /favicon.ico HTTP/1.1" 200 21630
69.89.14.35 - - [24/Dec/2015:10:32:10 +0000] "GET / HTTP/1.1" 200 11197
182.64.140.27 - - [24/Dec/2015:14:54:24 +0000] "GET / HTTP/1.1" 200 11217
182.64.140.27 - - [24/Dec/2015:14:54:28 +0000] "GET /tomcat.png HTTP/1.1" 200 5103
182.64.140.27 - - [24/Dec/2015:14:54:28 +0000] "GET /tomcat.css HTTP/1.1" 200 5576
182.64.140.27 - - [24/Dec/2015:14:54:29 +0000] "GET /bg-upper.png HTTP/1.1" 200 3103
182.64.140.27 - - [24/Dec/2015:14:54:29 +0000] "GET /bg-button.png HTTP/1.1" 200 713
182.64.140.27 - - [24/Dec/2015:14:54:29 +0000] "GET /bg-nav.png HTTP/1.1" 200 1401
182.64.140.27 - - [24/Dec/2015:14:54:29 +0000] "GET /bg-middle.png HTTP/1.1" 200 1918
182.64.140.27 - - [24/Dec/2015:14:54:29 +0000] "GET /asf-logo.png HTTP/1.1" 200 17811
69.89.14.35 - - [24/Dec/2015:15:05:55 +0000] "GET / HTTP/1.1" 200 11197
69.89.14.35 - - [24/Dec/2015:15:06:08 +0000] "GET / HTTP/1.1" 200 11197
69.89.14.35 - - [24/Dec/2015:15:07:35 +0000] "GET / HTTP/1.1" 200 11197
69.89.14.35 - - [24/Dec/2015:16:01:33 +0000] "GET / HTTP/1.1" 200 11197
69.89.14.35 - - [24/Dec/2015:17:02:38 +0000] "GET / HTTP/1.1" 200 11197
69.89.14.35 - - [24/Dec/2015:17:03:51 +0000] "GET / HTTP/1.1" 200 11197
141.212.122.129 - - [24/Dec/2015:20:03:10 +0000] "CONNECT / HTTP/1.1" 200 11197
