INFO   | jvm 1    | 2017/04/16 19:16:48 | 	at com.mysql.jdbc.Util.handleNewInstance(Util.java:411)
INFO   | jvm 1    | 2017/04/16 19:16:48 | 	at com.mysql.jdbc.SQLError.createCommunicationsException(SQLError.java:1116)
INFO   | jvm 1    | 2017/04/16 19:16:48 | 	at com.mysql.jdbc.MysqlIO.send(MysqlIO.java:3851)
INFO   | jvm 1    | 2017/04/16 19:16:48 | 	at com.mysql.jdbc.MysqlIO.sendCommand(MysqlIO.java:2471)
INFO   | jvm 1    | 2017/04/16 19:16:48 | 	at com.mysql.jdbc.MysqlIO.sqlQueryDirect(MysqlIO.java:2651)
INFO   | jvm 1    | 2017/04/16 19:16:48 | 	at com.mysql.jdbc.ConnectionImpl.execSQL(ConnectionImpl.java:2677)
INFO   | jvm 1    | 2017/04/16 19:16:48 | 	at com.mysql.jdbc.ConnectionImpl.execSQL(ConnectionImpl.java:2627)
INFO   | jvm 1    | 2017/04/16 19:16:48 | 	at com.mysql.jdbc.StatementImpl.executeQuery(StatementImpl.java:1556)
INFO   | jvm 1    | 2017/04/16 19:16:48 | 	at connectionManager.ConnectionPoolBean.isConnectionOK(ConnectionPoolBean.java:92)
INFO   | jvm 1    | 2017/04/16 19:16:48 | 	at connectionManager.ConnectionPoolBean.getDBConnection(ConnectionPoolBean.java:43)
INFO   | jvm 1    | 2017/04/16 19:16:48 | 	at connectionManager.ConnectionPoolBean.getDBConnection(ConnectionPoolBean.java:23)
INFO   | jvm 1    | 2017/04/16 19:16:48 | 	at connectionManager.CentralPage.init(CentralPage.java:22)
INFO   | jvm 1    | 2017/04/16 19:16:48 | 	at com.inbasket.content.MailContentServlet.doGet(MailContentServlet.java:58)
INFO   | jvm 1    | 2017/04/16 19:16:48 | 	at com.inbasket.content.MailContentServlet.doPost(MailContentServlet.java:116)
INFO   | jvm 1    | 2017/04/16 19:16:48 | 	at javax.servlet.http.HttpServlet.service(HttpServlet.java:646)
INFO   | jvm 1    | 2017/04/16 19:16:48 | 	at javax.servlet.http.HttpServlet.service(HttpServlet.java:727)
INFO   | jvm 1    | 2017/04/16 19:16:48 | 	at org.apache.catalina.core.ApplicationFilterChain.internalDoFilter(ApplicationFilterChain.java:303)
INFO   | jvm 1    | 2017/04/16 19:16:48 | 	at org.apache.catalina.core.ApplicationFilterChain.doFilter(ApplicationFilterChain.java:208)
INFO   | jvm 1    | 2017/04/16 19:16:48 | 	at org.apache.tomcat.websocket.server.WsFilter.doFilter(WsFilter.java:52)
INFO   | jvm 1    | 2017/04/16 19:16:48 | 	at org.apache.catalina.core.ApplicationFilterChain.internalDoFilter(ApplicationFilterChain.java:241)
INFO   | jvm 1    | 2017/04/16 19:16:48 | 	at org.apache.catalina.core.ApplicationFilterChain.doFilter(ApplicationFilterChain.java:208)
INFO   | jvm 1    | 2017/04/16 19:16:48 | 	at com.inbasket.filter.NoCacheFilter.doFilter(NoCacheFilter.java:40)
INFO   | jvm 1    | 2017/04/16 19:16:48 | 	at org.apache.catalina.core.ApplicationFilterChain.internalDoFilter(ApplicationFilterChain.java:241)
INFO   | jvm 1    | 2017/04/16 19:16:48 | 	at org.apache.catalina.core.ApplicationFilterChain.doFilter(ApplicationFilterChain.java:208)
INFO   | jvm 1    | 2017/04/16 19:16:48 | 	at org.apache.catalina.core.StandardWrapperValve.invoke(StandardWrapperValve.java:220)
INFO   | jvm 1    | 2017/04/16 19:16:48 | 	at org.apache.catalina.core.StandardContextValve.invoke(StandardContextValve.java:122)
INFO   | jvm 1    | 2017/04/16 19:16:48 | 	at org.apache.catalina.authenticator.AuthenticatorBase.invoke(AuthenticatorBase.java:501)
INFO   | jvm 1    | 2017/04/16 19:16:48 | 	at org.apache.catalina.core.StandardHostValve.invoke(StandardHostValve.java:170)
INFO   | jvm 1    | 2017/04/16 19:16:48 | 	at org.apache.catalina.valves.ErrorReportValve.invoke(ErrorReportValve.java:98)
INFO   | jvm 1    | 2017/04/16 19:16:48 | 	at org.apache.catalina.core.StandardEngineValve.invoke(StandardEngineValve.java:116)
