162.243.174.219 - - [19/Jan/2015:03:17:58 +0000] "GET / HTTP/1.1" 200 11197
162.243.174.219 - - [19/Jan/2015:03:18:24 +0000] "GET /docs/jndi-datasource-examples-howto.html HTTP/1.1" 404 1031
162.243.174.219 - - [19/Jan/2015:03:18:24 +0000] "GET /docs/security-howto.html HTTP/1.1" 404 999
162.243.174.219 - - [19/Jan/2015:03:18:24 +0000] "GET /docs/manager-howto.html HTTP/1.1" 404 997
162.243.174.219 - - [19/Jan/2015:03:18:24 +0000] "GET /docs/ HTTP/1.1" 404 961
162.243.174.219 - - [19/Jan/2015:03:18:24 +0000] "GET /docs/config/ HTTP/1.1" 404 975
162.243.174.219 - - [19/Jan/2015:03:18:24 +0000] "GET /examples/ HTTP/1.1" 404 969
162.243.174.219 - - [19/Jan/2015:03:18:24 +0000] "GET /docs/cluster-howto.html HTTP/1.1" 404 997
162.243.174.219 - - [19/Jan/2015:03:18:24 +0000] "GET /host-manager/html HTTP/1.1" 401 2045
162.243.174.219 - - [19/Jan/2015:03:18:24 +0000] "GET /manager/status HTTP/1.1" 401 2474
162.243.174.219 - - [19/Jan/2015:03:18:24 +0000] "GET /manager/html HTTP/1.1" 401 2474
117.21.191.204 - - [19/Jan/2015:16:14:22 +0000] "GET /manager/html HTTP/1.1" 401 2486
117.21.191.204 - - [19/Jan/2015:16:14:23 +0000] "GET /manager/html HTTP/1.1" 401 2486
117.21.191.204 - - [19/Jan/2015:16:14:23 +0000] "GET /manager/html HTTP/1.1" 401 2486
117.21.191.204 - - [19/Jan/2015:16:14:23 +0000] "GET /manager/html HTTP/1.1" 401 2486
117.21.191.204 - - [19/Jan/2015:16:14:25 +0000] "GET /manager/html HTTP/1.1" 401 2486
117.21.191.204 - - [19/Jan/2015:16:14:25 +0000] "GET /manager/html HTTP/1.1" 401 2486
117.21.191.204 - - [19/Jan/2015:16:14:25 +0000] "GET /manager/html HTTP/1.1" 401 2486
117.21.191.204 - - [19/Jan/2015:16:14:25 +0000] "GET /manager/html HTTP/1.1" 401 2486
117.21.191.204 - - [19/Jan/2015:16:14:26 +0000] "GET /manager/html HTTP/1.1" 401 2486
117.21.191.204 - - [19/Jan/2015:16:14:26 +0000] "GET /manager/html HTTP/1.1" 401 2486
117.21.191.204 - - [19/Jan/2015:16:14:26 +0000] "GET /manager/html HTTP/1.1" 401 2486
117.21.191.204 - - [19/Jan/2015:16:14:28 +0000] "GET /manager/html HTTP/1.1" 401 2486
117.21.191.204 - - [19/Jan/2015:16:14:28 +0000] "GET /manager/html HTTP/1.1" 401 2486
117.21.191.204 - - [19/Jan/2015:16:14:28 +0000] "GET /manager/html HTTP/1.1" 401 2486
117.21.191.204 - - [19/Jan/2015:16:14:28 +0000] "GET /manager/html HTTP/1.1" 401 2486
117.21.191.204 - - [19/Jan/2015:16:14:28 +0000] "GET /manager/html HTTP/1.1" 401 2486
117.21.191.204 - - [19/Jan/2015:16:14:28 +0000] "GET /manager/html HTTP/1.1" 401 2486
117.21.191.204 - - [19/Jan/2015:16:14:28 +0000] "GET /manager/html HTTP/1.1" 401 2486
117.21.191.204 - - [19/Jan/2015:16:14:28 +0000] "GET /manager/html HTTP/1.1" 401 2486
117.21.191.204 - - [19/Jan/2015:16:14:29 +0000] "GET /manager/html HTTP/1.1" 401 2486
117.21.191.204 - - [19/Jan/2015:16:14:31 +0000] "GET /manager/html HTTP/1.1" 401 2486
117.21.191.204 - - [19/Jan/2015:16:14:31 +0000] "GET /manager/html HTTP/1.1" 401 2486
117.21.191.204 - - [19/Jan/2015:16:14:31 +0000] "GET /manager/html HTTP/1.1" 401 2486
117.21.191.204 - - [19/Jan/2015:16:14:31 +0000] "GET /manager/html HTTP/1.1" 401 2486
