74.142.144.19 - - [15/Apr/2016:00:34:38 +0000] "GET / HTTP/1.1" 200 11197
107.170.190.113 - - [15/Apr/2016:02:00:29 +0000] "GET / HTTP/1.0" 200 11197
107.170.190.113 - - [15/Apr/2016:02:00:40 +0000] "GET / HTTP/1.1" 200 11197
107.170.190.113 - - [15/Apr/2016:02:00:51 +0000] "GET /CHANGELOG.txt HTTP/1.1" 404 977
107.170.190.113 - - [15/Apr/2016:02:01:02 +0000] "GET /joomla.xml HTTP/1.1" 404 971
107.170.190.113 - - [15/Apr/2016:02:01:13 +0000] "GET /administrator/manifests/libraries/joomla.xml HTTP/1.1" 404 1039
107.170.190.113 - - [15/Apr/2016:02:01:24 +0000] "GET / HTTP/1.1" 200 11197
184.105.247.194 - - [15/Apr/2016:03:09:51 +0000] "GET / HTTP/1.1" 200 11197
159.203.98.22 - - [15/Apr/2016:04:26:59 +0000] "GET / HTTP/1.1" 200 11197
159.203.122.194 - - [15/Apr/2016:04:30:27 +0000] "GET / HTTP/1.1" 200 11197
159.203.75.220 - - [15/Apr/2016:04:48:24 +0000] "GET / HTTP/1.1" 200 11197
104.236.252.205 - - [15/Apr/2016:05:07:12 +0000] "GET / HTTP/1.1" 200 11197
45.55.41.7 - - [15/Apr/2016:05:08:25 +0000] "GET / HTTP/1.1" 200 11197
61.0.146.18 - - [15/Apr/2016:06:03:40 +0000] "GET / HTTP/1.1" 200 11197
61.0.146.18 - - [15/Apr/2016:06:03:41 +0000] "GET /tomcat.png HTTP/1.1" 200 5103
61.0.146.18 - - [15/Apr/2016:06:03:41 +0000] "GET /tomcat.css HTTP/1.1" 200 5576
61.0.146.18 - - [15/Apr/2016:06:03:43 +0000] "GET /asf-logo.png HTTP/1.1" 200 17811
61.0.146.18 - - [15/Apr/2016:06:03:43 +0000] "GET /bg-middle.png HTTP/1.1" 200 1918
61.0.146.18 - - [15/Apr/2016:06:03:43 +0000] "GET /bg-nav.png HTTP/1.1" 200 1401
61.0.146.18 - - [15/Apr/2016:06:03:43 +0000] "GET /bg-upper.png HTTP/1.1" 200 3103
61.0.146.18 - - [15/Apr/2016:06:03:45 +0000] "GET /bg-button.png HTTP/1.1" 200 713
61.0.146.18 - - [15/Apr/2016:06:04:00 +0000] "GET /favicon.ico HTTP/1.1" 200 21630
58.218.185.90 - - [15/Apr/2016:07:21:54 +0000] "GET /manager/html HTTP/1.1" 401 2486
58.218.185.90 - - [15/Apr/2016:07:21:54 +0000] "GET /manager/html HTTP/1.1" 401 2486
58.218.185.90 - - [15/Apr/2016:07:21:54 +0000] "GET /manager/html HTTP/1.1" 401 2486
58.218.185.90 - - [15/Apr/2016:07:21:54 +0000] "GET /manager/html HTTP/1.1" 401 2486
58.218.185.90 - - [15/Apr/2016:07:21:54 +0000] "GET /manager/html HTTP/1.1" 401 2486
58.218.185.90 - - [15/Apr/2016:07:21:54 +0000] "GET /manager/html HTTP/1.1" 401 2486
58.218.185.90 - - [15/Apr/2016:07:21:54 +0000] "GET /manager/html HTTP/1.1" 401 2486
58.218.185.90 - - [15/Apr/2016:07:21:54 +0000] "GET /manager/html HTTP/1.1" 401 2486
58.218.185.90 - - [15/Apr/2016:07:21:54 +0000] "GET /manager/html HTTP/1.1" 401 2486
58.218.185.90 - - [15/Apr/2016:07:21:55 +0000] "GET /manager/html HTTP/1.1" 401 2486
58.218.185.90 - - [15/Apr/2016:07:21:55 +0000] "GET /manager/html HTTP/1.1" 401 2486
58.218.185.90 - - [15/Apr/2016:07:21:55 +0000] "GET /manager/html HTTP/1.1" 401 2486
