203.201.220.36 - - [05/Jul/2016:10:29:34 +0000] "GET /tomcat.css HTTP/1.1" 200 5576
203.201.220.36 - - [05/Jul/2016:10:29:34 +0000] "GET /tomcat.png HTTP/1.1" 200 5103
203.201.220.36 - - [05/Jul/2016:10:29:35 +0000] "GET /bg-nav.png HTTP/1.1" 200 1401
203.201.220.36 - - [05/Jul/2016:10:29:35 +0000] "GET /bg-upper.png HTTP/1.1" 200 3103
203.201.220.36 - - [05/Jul/2016:10:29:35 +0000] "GET /asf-logo.png HTTP/1.1" 200 17811
203.201.220.36 - - [05/Jul/2016:10:29:35 +0000] "GET /bg-middle.png HTTP/1.1" 200 1918
203.201.220.36 - - [05/Jul/2016:10:29:35 +0000] "GET /bg-button.png HTTP/1.1" 200 713
203.201.220.36 - - [05/Jul/2016:10:29:43 +0000] "GET /favicon.ico HTTP/1.1" 200 21630
120.132.50.135 - - [05/Jul/2016:12:23:00 +0000] "GET / HTTP/1.1" 200 11197
171.94.173.36 - - [05/Jul/2016:13:54:41 +0000] "GET /phpmyadmin HTTP/1.1" 404 971
185.25.148.240 - - [05/Jul/2016:14:28:29 +0000] "GET /testproxy.php HTTP/1.1" 404 977
101.6.30.81 - - [05/Jul/2016:14:33:18 +0000] "GET / HTTP/1.1" 200 11197
137.116.71.170 - - [05/Jul/2016:15:09:06 +0000] "GET /robots.txt HTTP/1.1" 404 971
23.110.52.178 - - [05/Jul/2016:17:16:30 +0000] "GET / HTTP/1.1" 200 11197
185.35.62.11 - - [05/Jul/2016:19:47:22 +0000] "GET / HTTP/1.1" 200 11197
141.212.122.161 - - [05/Jul/2016:22:24:35 +0000] "GET / HTTP/1.1" 200 11197
