216.218.206.68 - - [02/May/2015:07:50:20 +0000] "GET / HTTP/1.1" 200 11197
192.81.215.7 - - [02/May/2015:18:13:25 +0000] "GET / HTTP/1.1" 200 11197
192.81.215.7 - - [02/May/2015:18:13:38 +0000] "GET /docs/jndi-datasource-examples-howto.html HTTP/1.1" 404 1031
192.81.215.7 - - [02/May/2015:18:13:38 +0000] "GET /docs/security-howto.html HTTP/1.1" 404 999
192.81.215.7 - - [02/May/2015:18:13:38 +0000] "GET /docs/manager-howto.html HTTP/1.1" 404 997
192.81.215.7 - - [02/May/2015:18:13:38 +0000] "GET /docs/cluster-howto.html HTTP/1.1" 404 997
192.81.215.7 - - [02/May/2015:18:13:38 +0000] "GET /docs/config/ HTTP/1.1" 404 975
192.81.215.7 - - [02/May/2015:18:13:38 +0000] "GET /manager/html HTTP/1.1" 401 2474
192.81.215.7 - - [02/May/2015:18:13:38 +0000] "GET /host-manager/html HTTP/1.1" 401 2045
192.81.215.7 - - [02/May/2015:18:13:38 +0000] "GET /docs/ HTTP/1.1" 404 961
192.81.215.7 - - [02/May/2015:18:13:38 +0000] "GET /examples/ HTTP/1.1" 404 969
192.81.215.7 - - [02/May/2015:18:13:38 +0000] "GET /manager/status HTTP/1.1" 401 2474
